cluster,topic,dept,n,sample,prominence,dept_counts
Vaccination Strategies Against Emerging Viral Threats,Avipoxvirus and Reticuloendotheliosis Virus Insights,Ilmu Komputer dan Elektronika,2,"[""A Case Report of Outbreak Avian Pox Virus from Layer Chickens and a Pigeon in Yogyakarta, Indonesia"", ""In ovo inhibition of avian pox virus replication by mangosteen rind and red ginger ethanolic extracts""]",61.3,"{""Ilmu Komputer dan Elektronika"": 2}"
Wave Energy Conversion and Hydrodynamic Modeling,Wave Energy and Power Conversion,Kimia,2,"[""Synthesis of Fe3O4/TiO2 nanocomposite as photocatalyst in photoreduction reaction of CO2 conversion to methanol"", ""Modeling coastal wave attenuation with hybrid vegetation–breakwater structures""]",61.6,"{""Kimia"": 1, ""Matematika"": 1}"
Welfare Systems and Retirement Dynamics in Society,Transformative Policies in Labor Market Dynamics,Ilmu Komputer dan Elektronika,2,"[""Evaluating UI in Digital Skills Training: Human Centered-Design approach from UI Sanbercode Bootcamp"", ""Assessing the Long-Term Sustainability of Pension Plans: A Benchmarking Approach Using the Divergence Between Discount Rates and GDP Growth in Relation to the Pension Benefit-Contribution Ratio""]",35.1,"{""Ilmu Komputer dan Elektronika"": 1, ""Matematika"": 1}"
ADHD and Associated Neuropsychiatric Disorders,Electroencephalography Insights into ADHD Dynamics,Ilmu Komputer dan Elektronika,1,"[""Convolutional Structural Similarity Index Measure (CSSIM): A Novel Interpretable Classification Method for ADHD Diagnosis Using EEG""]",63.8,"{""Ilmu Komputer dan Elektronika"": 1}"
Additive Manufacturing and Material Properties,Integration of IoT and 3D Printing Technologies,Ilmu Komputer dan Elektronika,1,"[""Measurement of Iodine Levels in Salt Using Color Sensor""]",96.6,"{""Ilmu Komputer dan Elektronika"": 1}"
Agent-Based Systems in Intelligent Manufacturing Design,Programmable Logic Controllers in Industrial Automation,Kimia,1,"[""DEVELOPMENT OF TEAK LEAF PLATE MOLDING MACHINE FOR PRODUCING PLASTIC ALTERNATIVE PRODUCTS""]",26.4,"{""Kimia"": 1}"
Alcohol Consumption and Its Health Implications,Health Risks and Effects of Formaldehyde Exposure,Fisika,1,"[""Characterization photoacoustic tomography imaging system and its application for detection formaldehyde in skin of cow""]",16.7,"{""Fisika"": 1}"
Antibiotic Stewardship and Resistance Management,Antibiotic Use and Self-Medication Practices,Kimia,1,"[""A survey about self medication of vitamins among Gadjah Mada chemistry students""]",56.4,"{""Kimia"": 1}"
Antioxidant Compounds in Wine and Tea,Health Benefits and Extraction of Tea Catechins,Kimia,1,"[""Different leaf maturities and withering durations affect the antioxidant potential and aroma compound of Indonesian bay leaf [Syzygium polyanthum (Wight) Walp.]""]",89.4,"{""Kimia"": 1}"
Asphaltene Dynamics and Surfactant Interactions in Crude Oil,Paramagnetic Species in Crude Oil Characterization,Kimia,1,"[""The origin, physicochemical properties, and removal technology of metallic porphyrins from crude oils""]",55.8,"{""Kimia"": 1}"
Asymmetric Catalysis in Chiral Compound Synthesis,Chiral Catalysis in Asymmetric Synthesis Advances,Kimia,1,"[""Enantioselective Construction of Tetrasubstituted Carbon Stereocenters via Chiral Phosphoric Acid-Catalyzed Friedel-Craft Alkylation of Indoles with 5-Substituted Hydroxybutyrolactams""]",33.0,"{""Kimia"": 1}"
"Autism Spectrum Disorder, Behavior and Early Interventions",Machine Learning Applications in Autism Spectrum Disorder,Ilmu Komputer dan Elektronika,1,"[""Autism Detection Based on Digital Facial Image using Hybrid Method of CNN, LBP, and HOG""]",91.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Autonomous Underwater Vehicle Control Systems,Variable Buoyancy Systems in Underwater Vehicles,Ilmu Komputer dan Elektronika,1,"[""ORCA: AI-powered Autonomous Underwater Vehicle for Subaquatic Exploration""]",61.9,"{""Ilmu Komputer dan Elektronika"": 1}"
Bird Behavior and Habitat Dynamics,Bioacoustic Monitoring for Biodiversity Assessment,Matematika,1,"[""On-Edge Device Optimization Using Multiple Classification Method for a Cat and Dog Audio Classifier""]",71.3,"{""Matematika"": 1}"
Brassinosteroids and Their Impact on Plant Growth,Chrysobalanaceae Diversity and Bioactivity Insights,Kimia,1,"[""Synthesis, Epoxidation, and Cytotoxic Evaluation of Oleic Acid Amide Derivatives as Anticancer Agents: In Vitro, Molecular Docking, and Molecular Dynamics Studies""]",45.6,"{""Kimia"": 1}"
Cadmium-Based Solar Cell Technologies,Cadmium Alloys and Crystal Growth Innovations,Matematika,1,"[""Multispectral photon-counting for medical imaging and beam characterization""]",9.5,"{""Matematika"": 1}"
Cardiovascular Monitoring and Neonatal Care,Innovative Approaches to Continuous Blood Pressure Monitoring,Matematika,1,"[""Real-Time Blood Pressure Change Classification Using Enhanced PPG Signals and Convolutional Neural Networks""]",62.4,"{""Matematika"": 1}"
Carotenoid Dynamics in Nutrition and Health,Isoprenoid Biosynthesis Pathways and Antimalarial Targets,Kimia,1,"[""The Identification of β-Ocimene Biosynthetic Pathway Through Mevalonate Acid (MVA) and 1-Deoxy-D-Xylulose 5-Phosphate (DXP) Pathways Using Crude Enzyme Extracts in Indonesian Bay Leaf/Salam Leaf (Syzygium polyanthum)""]",62.1,"{""Kimia"": 1}"
Catalytic Innovations in Diesel Emission Control,Structural Dynamics and Catalytic Properties of Aluminum Oxide,Kimia,1,"[""Effect of Pt cluster size on CO2 adsorption and activation on (110) and (100) γ-alumina surfaces: insights from DFT using a periodic boundary approach""]",69.3,"{""Kimia"": 1}"
Catalytic Innovations in Organic Pollutant Degradation,Hydrogen Reactions in Aqueous Radiolysis Solutions,Fisika,1,"[""The applications of directional fields in the reactions of PfBr protection and maleic acid chemical kinetics""]",96.1,"{""Fisika"": 1}"
Catalytic Transformations in Alcohol Oxidation and Borylation,Catalytic Transformations in Hydrogenation and Alkylation,Ilmu Komputer dan Elektronika,1,"[""Sonochemical and Mechanochemical Synthesis of Alcohols from Aldehydes and Ketones""]",50.0,"{""Ilmu Komputer dan Elektronika"": 1}"
Cellular Pathways in Cancer Stem Cell Dynamics,Niclosamide's Multifunctional Role in Disease Treatment,Kimia,1,"[""A novel graphene oxide–niclosamide hybrid as a potent antiviral agent against dengue virus serotype 3""]",84.9,"{""Kimia"": 1}"
Channel Coding for Communication Systems,Data Synchronization in Heterogeneous Database Systems,Matematika,1,"[""Software Agent and Data Marker for Data Synchronization in Integrated Systems""]",10.7,"{""Matematika"": 1}"
Chromatography for Protein Separation,Chiral Separation Techniques in Pharmaceutical Development,Kimia,1,"[""Chiral Separation of Econazole by High Performance Liquid Chromatography Method using Cyclodextrin as Chiral Column""]",37.3,"{""Kimia"": 1}"
Circular Economy and Life Cycle Assessment Integration,Environmental Impact of Biobased Packaging Solutions,Kimia,1,"[""NATURAL TEAK LEAF VERSUS POLYSTYRENE® AND PAPER: A COMPARISON OF THE ENERGY USED TO MAKE SINGLE-USE PLATES""]",98.8,"{""Kimia"": 1}"
Climate Change Impacts on Species Distribution Models,Rcpp and Parallel Computing in Data Science,Matematika,1,"[""Program Evaluation and Review Technique (PERT) Analysis to Predict Completion Time and Project Risk Using Discrete Event System Simulation Method""]",64.7,"{""Matematika"": 1}"
Cloud Computing and Data Security,Resource Management and Performance Optimization in Cloud Computing,Ilmu Komputer dan Elektronika,1,"[""WASL: Harmonizing Uncoordinated Adaptive Modules in Multi-Tenant Cloud Systems""]",88.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Cognitive Linguistics and Language Development Insights,Dynamic Semantics and Anaphora in Language Systems,Ilmu Komputer dan Elektronika,1,"[""Building Natural Language Understanding System from User Manual to Execute Office Application Functions""]",31.3,"{""Ilmu Komputer dan Elektronika"": 1}"
Cognitive Radio Innovations in Spectrum Management,Parameter Estimation in Stable Noise Environments,Belum terpetakan,1,"[""Theoretical properties of the sample generalized codifference function of stable moving average process""]",44.5,"{""Belum terpetakan"": 1}"
Complement System and Hereditary Angioedema Insights,Thrombotic Microangiopathy in Transplantation Contexts,Ilmu Komputer dan Elektronika,1,"[""An Explainable Machine Learning Model with SHAP Feature Selection and Hybrid Sampling for Anemia Pre-Screening""]",35.7,"{""Ilmu Komputer dan Elektronika"": 1}"
Conservation Strategies for Endangered Species Management,Civet Species and Habitat Dynamics in Southeast Asia,Fisika,1,"[""Sumatra-wide assessment of spatiotemporal niche partitioning among small carnivore species""]",51.9,"{""Fisika"": 1}"
Control Strategies for Renewable Energy Systems,Control Strategies for Virtual Synchronous Generators,Ilmu Komputer dan Elektronika,1,"[""Bidirectional Virtual Inertia Control Strategy for a Bidirectional Interlinking Converter in an Autonomous Hybrid AC/DC Microgrid""]",89.9,"{""Ilmu Komputer dan Elektronika"": 1}"
Crystallization Dynamics and Nonlinear Optical Properties,Ultrasound Effects on Lactose Crystallization Dynamics,Matematika,1,"[""Controlled Particle Size Distribution in Ultrasound-Assisted Lithium Carbonate Precipitation""]",44.3,"{""Matematika"": 1}"
Cultural Connections through Archaeological Metalwork,Corrosion Mechanisms and Conservation of Copper Alloys,Kimia,1,"[""FORMULATION OF GUAVA LEAF COATING AS ANTICORROSION OF Cu METAL CULTURAL HERITAGE MATERIAL""]",6.5,"{""Kimia"": 1}"
Cultural Dynamics in Language and Code-Switching,Language Models for Code-Switching and Sentiment Analysis,Ilmu Komputer dan Elektronika,1,"[""Code-Mixed Sentiment Analysis using Transformer for Twitter Social Media Data""]",5.0,"{""Ilmu Komputer dan Elektronika"": 1}"
Cultural Dynamics in Urban Development and Creativity,Cultural Dynamics in Global Fashion Capitals,Matematika,1,"[""Detecting sarcasm in public opinion about COVID-19 using NBC and RBF""]",21.2,"{""Matematika"": 1}"
Deep Brain Stimulation and Robotic Innovations in Tremor Management,Essential Tremor and Parkinson's Disease Interconnections,Kimia,1,"[""Enhancing tremor classification: Transformer-based analysis of biomechanics patterns for Parkinson's and essential tremor""]",70.0,"{""Kimia"": 1}"
Diabetes and Beta Cell Function,Regenerative Proteins in Pancreatic Health and Disease,Ilmu Komputer dan Elektronika,1,"[""Transcriptome related to avoiding immune destruction in nasopharyngeal cancer in indonesian patients using next-generation sequencing""]",63.2,"{""Ilmu Komputer dan Elektronika"": 1}"
Digital Governance and Open Data Transformation,E-Government Services and Citizen Engagement Dynamics,Ilmu Komputer dan Elektronika,1,"[""Factors Affecting the Adoption and Usage of eGovernment Services in Libya""]",76.5,"{""Ilmu Komputer dan Elektronika"": 1}"
Digital Twin Integration in Smart Manufacturing Systems,Interoperability and Digital Twins in Industry 4.0,Ilmu Komputer dan Elektronika,1,"[""Knowledge graph modularization for cyber-physical production systems?""]",98.3,"{""Ilmu Komputer dan Elektronika"": 1}"
Diversity and Resistance in Plant Pathogens,Endophytic Fungi and Plant Growth Enhancement,Kimia,1,"[""Analysis and characterization of solid and liquid organic fertilizer from hydrothermal carbonization (Htc) of chicken feather and blood waste""]",43.5,"{""Kimia"": 1}"
Ecosystem Services and Land Use Dynamics,Carbon Valuation and Emission Trading in Forestry,Fisika,1,"[""Integration of Geoscientific Data Mining and GBM Hyperparameter Optimization to Improve the Accuracy of Landslide Hazard Prediction""]",95.9,"{""Fisika"": 1}"
Ectomycorrhizal Fungi and Soil Microbiology Dynamics,Ganoderma Impact on Palm Oil Health,Kimia,1,"[""APPLICATIONS OF ORGANIC FUNGICIDES, ENDOPHYTIC BACTERIA, BIOFUNGICIDES AND BIOSTIMULANTS IN CURATIVE CONTROL OF Ganoderma""]",54.3,"{""Kimia"": 1}"
Electronic Properties and Structural Dynamics of Advanced Materials,Phase Transformations in Titanium and Zirconium Alloys,Belum terpetakan,1,"[""Density-functional tight-binding parameters for bulk zirconium: A case study for repulsive potentials""]",71.4,"{""Belum terpetakan"": 1}"
Electrostatic Separation and Two-Phase Flow Dynamics,Two-Phase Flow Modeling and Dynamics,Matematika,1,"[""Optimized Bisection Image Processing for Wave Identification in Two-Phase Flow on Narrow Gap Rectangular Channel""]",23.3,"{""Matematika"": 1}"
Energy Optimization in Building Systems Design,Occupant Behavior for Energy Efficiency,Matematika,1,"[""Empowering Digital Humanism in Smart Built Environments through SOLID Data Spaces""]",95.3,"{""Matematika"": 1}"
Enhancements in Epoxy Composite Properties and Applications,Innovative Applications of Cashew Nut Derivatives,Kimia,1,"[""Isolation and Green Methylation of Cardanol from Cashew Nut Shell Liquid""]",60.7,"{""Kimia"": 1}"
Enhancing Customer Loyalty through Service Quality,Consumer Dynamics in Dairy Product Markets,Kimia,1,"[""Consumer purchasing behavior: An empirical study of livestock products food""]",86.7,"{""Kimia"": 1}"
Enhancing Device Performance with Germanium and Silicon,Germanium-Tin Alloy Photodetectors,Fisika,1,"[""Stone-wales and interchange configurations in monolayer SnGe: A density-functional-theory study""]",7.8,"{""Fisika"": 1}"
Enhancing Emergency Medical Services and Traffic Safety,Global Perspectives on Road Traffic Injury Prevention,Kimia,1,"[""Molecular dynamics of cobalt protoporphyrin antagonism of the cancer suppressor REV-ERBβ""]",39.9,"{""Kimia"": 1}"
Enhancing Patient Safety through Medication Management,Social Media Insights on Adverse Drug Reactions,Ilmu Komputer dan Elektronika,1,"[""Leveraging Wikipedia Knowledge for Distant Supervision in Medical Concept Normalization""]",77.4,"{""Ilmu Komputer dan Elektronika"": 1}"
Enhancing Quality of Life through Cosmetic Treatments,"Acne Vulgaris: Treatment, Quality of Life, and Resistance",Ilmu Komputer dan Elektronika,1,"[""Acne Classification with Gaussian Mixture Model based on Texture Features""]",71.0,"{""Ilmu Komputer dan Elektronika"": 1}"
Epigenetic Mechanisms in Cancer and Development,Death Associated Protein Kinase in Cellular Regulation,Kimia,1,"[""Stability, hydrogen bond occupancy analysis and binding free energy calculation from flavonol docked in DAPK1 active site using molecular dynamic simulation approaches""]",93.3,"{""Kimia"": 1}"
Ethnopharmacology and Biodiversity in Traditional Medicine,Traditional Knowledge and Biodiversity Conservation,Kimia,1,"[""SynthesisandHighAntioxidantActivityofC-Alkyl Calix[4]resorcinarene and C-Alkyl Calix[4]pyrogallolarene Derivatives""]",42.2,"{""Kimia"": 1}"
Fluorine Chemistry in Synthesis and Catalysis,Catalytic Fluoride Innovations in Environmental Applications,Belum terpetakan,1,"[""Synthesis and characterization of pure ZnO and ZnO supported MgF2 for catalytic acylation of phenol""]",31.5,"{""Belum terpetakan"": 1}"
Foam and Perfluoroalkyl Substances in Environmental Applications,Stability and Applications of Pickering Emulsions,Kimia,1,"[""THE ABILITY OF BREADFRUIT STARCH NANOPARTICLE-STABILIZED PICKERING EMULSION FOR ENCAPSULATING CINNAMON ESSENTIAL OIL""]",96.0,"{""Kimia"": 1}"
Food Allergies and Immunotherapy Approaches,Plant Antimicrobial Peptides and Their Applications,Kimia,1,"[""Antibacterial peptides from tryptic hydrolysate of Ricinus communis seed protein fractionated using cation exchange chromatography""]",67.0,"{""Kimia"": 1}"
Fractal Dimensions and Continued Fraction Approximations,Fractal Structures and Dirichlet Forms in Mathematical Physics,Fisika,1,"[""The Relationship Between Lipα/F ([a, b]) and BV αp/F ([a, b])""]",6.8,"{""Fisika"": 1}"
Gamification and Interactive Learning in Education,Educational Potential of Video Games in Learning,Matematika,1,"[""Enhancing Motivation and Understanding in Mathematics and Science through Educational Games with GDevelop""]",91.9,"{""Matematika"": 1}"
Gender Discrimination and Educational Policy Dynamics,Overeducation and Job Mismatch Effects on Workers,Ilmu Komputer dan Elektronika,1,"[""Applying Data Mining to Analysis of Mismatch between Education and Labor Market in Indonesia""]",55.0,"{""Ilmu Komputer dan Elektronika"": 1}"
Gender Dynamics and Engineering Education Reform,Cognitive Classification of Learning Outcomes in Education,Ilmu Komputer dan Elektronika,1,"[""Intelligent computational model to determine the order of thinking skills of test items""]",61.8,"{""Ilmu Komputer dan Elektronika"": 1}"
Genetic Diversity and Disease Resistance in Aquatic Species,Tilapia Lake Virus Impact on Aquaculture,Matematika,1,"[""Fish Eye Imaging as Water Pollution Bioindicator using Photoacoustic Tomography System""]",30.3,"{""Matematika"": 1}"
Genetic Innovations in Plant Regeneration and Metabolite Production,Callus Induction and Tissue Culture Applications,Kimia,1,"[""Effect of Growth Factor in Callus Induction and Bioactive Compounds in Seed Explant of Kaffir Lime (Citrus hystrix DC.)""]",48.9,"{""Kimia"": 1}"
Genetic Resistance and Expression in Plant Pathology,Toxicity and Environmental Impact of Strobilurin Fungicides,Kimia,1,"[""Enhanced dissipation of azoxystrobin in loam soil under direct sunlight exposure""]",85.9,"{""Kimia"": 1}"
Geochemical Insights into Magma and Mineralization,Epithermal Deposits in New Zealand,Fisika,1,"[""Ore Characteristics and Distribution Based on Geological and Geophysical Features of the Tambang Sawah Low Sulfidation Epithermal Gold Prospect in Lebong District, Sumatra Island, Indonesia""]",15.2,"{""Fisika"": 1}"
Geochronology and Mineral Evolution in Orogenic Belts,Garnet Dynamics in Skarn Ore Deposits,Fisika,1,"[""A preliminary study of geology and skarn of Cemorosewu Area, Bayat, Central Java, Indonesia""]",77.3,"{""Fisika"": 1}"
Gravity-Based Insights into Water Storage Dynamics,Geoid Models and Gravity Field Innovations,Ilmu Komputer dan Elektronika,1,"[""Joint interpretation global gravity model plus with seismic interpretation at Kradenan mud volcano area, Purwodadi, Central Java""]",26.6,"{""Ilmu Komputer dan Elektronika"": 1}"
HIV Prevention and Care Strategies for Communities,Global Health Challenges in HIV and Infectious Diseases,Matematika,1,"[""A QUASI-BIRTH-DEATH PERSPECTIVE OF SUSCEPTIBLE-INFECTIOUS-RECOVERED TYPE MODEL""]",65.7,"{""Matematika"": 1}"
Harmful Algal Blooms and Acanthamoeba Dynamics,Pathogenic Amoebae in Human Health and Environment,Kimia,1,"[""Nanocomposites of Terbium Sulfide Nanoparticles with a Chitosan Capping Agent for Antibacterial Applications""]",58.0,"{""Kimia"": 1}"
Health Insurance Coverage and Cost Dynamics,Financial Burden and Cancer Care Dynamics,Ilmu Komputer dan Elektronika,1,"[""Pricing Cancer Reinsurance Premiums Using a Stochastic Treatment Cost Model""]",27.5,"{""Ilmu Komputer dan Elektronika"": 1}"
Health Risks of Lead and Cadmium Exposure,Neurotoxic Effects of Lead Exposure on Brain Function,Kimia,1,"[""Reaction times among batik workers: The influence of gender and occupational lead exposure""]",60.3,"{""Kimia"": 1}"
Heart Rate Variability and Autonomic Function Insights,Heart Rate Variability and Autonomic Function in Health,Matematika,1,"[""Clinical Evidence of Wearable-Derived Heart Rate Variability for Detecting Systemic Inflammation: A Systematic Review""]",52.8,"{""Matematika"": 1}"
Heavy Metal Impact on Aquatic Ecosystems,Heavy Metal Bioaccumulation in Aquatic Ecosystems,Matematika,1,"[""Food Safety Level Assessment on Heavy Metals (As, Cd, Li, Ni, Pb, Ti) Concentration in Tilapia Fish (Oreochromis sp.) from Sleman and Bantul Yogyakarta""]",46.1,"{""Matematika"": 1}"
Heavy Metal Management in Aluminum and Bauxite,Aluminum Extraction from Coal Fly Ash Resources,Kimia,1,"[""Application of Design Experiments in Optimizing Silica Extraction from Coal Fly Ash and the Product Characterization""]",67.6,"{""Kimia"": 1}"
High Power Fiber Laser Innovations and Applications,Localized Structures in Nonlinear Optical Systems,Matematika,1,"[""TRANSITION TO CHAOS IN HIGH CONTROL PARAMETER OF SWIFT–HOHENBERG EQUATION""]",35.8,"{""Matematika"": 1}"
Holocene Climate Variability and Geodiversity Insights,Morphological Insights into Homo Erectus Evolution,Matematika,1,"[""Geochemical analysis was conducted on early Pleistocene outcrops: A Study Case in Manyarejo Cluster, Sangiran, Central Java, Indonesia.""]",32.3,"{""Matematika"": 1}"
Humor and Anxiety Management in Pediatric Care,Cognitive Insights into Visual Narrative Structures,Ilmu Komputer dan Elektronika,1,"[""Innovative Graph-Based Inference Generation for Analysis of Research Trends in Low-Resource Language Machine Translation Using Sentence-BERT and Word2Vec Embeddings""]",27.3,"{""Ilmu Komputer dan Elektronika"": 1}"
Hybrid Energy Management in Electric Vehicles,Electric Vehicle Adoption and Infrastructure Development,Matematika,1,"[""PROSPECTS AND CHALLENGES OF ALTERNATIVE TRANSPORTATION IN INDONESIA: UNDERSTANDING BASED ON NEWS EXTRACTION ABOUT TECHNOLOGY AND ACCEPTANCE OF ELECTRIC VEHICLES""]",94.9,"{""Matematika"": 1}"
Hydraulic Fracturing and Reservoir Management Innovations,Induced Seismicity and Fluid Dynamics in Geothermal Systems,Fisika,1,"[""Detection of seismic wave signal using singlemodemultimode-singlemode fiber probe""]",62.8,"{""Fisika"": 1}"
Image Quality and Video Streaming Optimization,Underwater Image Processing and Enhancement Techniques,Matematika,1,"[""Underwater Quality Enhancement Based on Mixture Contrast Limited Adaptive Histogram and Multiscale Fusion""]",82.9,"{""Matematika"": 1}"
Image and Video Retrieval Systems,Content-Based Image Retrieval Systems,Ilmu Komputer dan Elektronika,1,"[""A Robust Image Retrieval Method Using Multi-Hierarchical Agglomerative Clustering and Davis-Bouldin Index""]",16.4,"{""Ilmu Komputer dan Elektronika"": 1}"
Immune Checkpoint Inhibitors in Cancer Therapy,Epitope-Based Vaccine Design for Immune Response,Ilmu Komputer dan Elektronika,1,"[""Enhancement of conformational B-cell epitope prediction using CluSMOTE""]",96.5,"{""Ilmu Komputer dan Elektronika"": 1}"
Immune Responses and Therapeutics in HIV Infection,Lectins as Antiviral Proteins Against HIV,Fisika,1,"[""Prospecting New Antimicrobial Peptide from Gracilaria spp. Active-peptide Hydrolysate against Pathogenic Bacteria using Proteomic Approach""]",41.9,"{""Fisika"": 1}"
Impact of HPV on Squamous Cell Carcinoma Outcomes,Oral Cancer Risks and Screening Practices,Ilmu Komputer dan Elektronika,1,"[""Photoacoustic Imaging using Diode Laser for Soft Tissue Visualization""]",68.0,"{""Ilmu Komputer dan Elektronika"": 1}"
Implant Innovations in Orthodontics and Bone Health,Polyetheretherketone Applications in Biomedical Engineering,Fisika,1,"[""Fabrication and characterization of Polyetheretherketone (PEEK)/Hydroxyapatite (HA) pearl shell composites for bone implant""]",88.3,"{""Fisika"": 1}"
Infection Management in Joint Replacement Procedures,Antibacterial Properties of Titanium-Copper Alloys,Fisika,1,"[""Morphological, mechanical and antibacterial properties of Ti–Cu–N thin films deposited by sputtering DC""]",52.3,"{""Fisika"": 1}"
Influence of Technology on Consumer Behavior,Partial Least Squares Method in Structural Equation Modeling,Fisika,1,"[""Enacting Alternating Least Square Algorithm to Estimate Model Fit of Sem Generalized Structured Component Analysis""]",99.5,"{""Fisika"": 1}"
Innovative Antenna Applications in Medical and Environmental Fields,Borehole Radar for Geological Insights,Matematika,1,"[""Application Power Spectrum Analysis of Gravity Data to Investigate Subsurface Structures of the North Banggai-Sula Microcontinent in Maluku Sea Area""]",59.4,"{""Matematika"": 1}"
Innovative Approaches in Forest Management and Biomass Estimation,Modeling Tree Growth and Competition Dynamics,Ilmu Komputer dan Elektronika,1,"[""EFFECT OF COVID-19 PATIENTS FLOW RATE FROM ER TO LPD ON COVID-19 PATIENTS HEALING RATES AT RSUP DR. SARDJITO'S ER""]",48.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Innovative Approaches to Carbon Dioxide Capture,Innovative Materials for Carbon Dioxide Capture,Kimia,1,"[""Fabrication of Alginate-Based Electrospun Nanofibers for Carbon Dioxide Removal""]",90.8,"{""Kimia"": 1}"
Innovative Approaches to Metal Recovery and Bioleaching,Polyvinyl Chloride Modification and Dechlorination,Kimia,1,"[""Preparation and characterization of composite from poly(vinyl chloride) hydrochar and hydrolyzate of keratin from chicken feather by hydrothermal carbonization""]",46.8,"{""Kimia"": 1}"
Innovative Control Systems for Autonomous Vehicles,Integrated Control Strategies for Electric Vehicle Stability,Ilmu Komputer dan Elektronika,1,"[""NAVIGATION CONTROL IN AUTONOMOUS VEHICLES USING ARTIFICIAL INTELLIGENCE: A RECENT COMPREHENSIVE STRUCTURED REVIEW""]",70.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Innovative Drug Delivery Systems Using Nanoparticles,Nanoparticle Formulations for Sustained Drug Release,Kimia,1,"[""Optimization of Gelling Agent and Sunscreen Activity Test on 4-OH-chalcone Gel Using In Vitro Method""]",81.2,"{""Kimia"": 1}"
Innovative Materials from Waste for Sustainable Construction,Properties and Applications of Glass Ceramics from Waste,Fisika,1,"[""The effect of additive (SiO2, MgO, and CaO) in the hardness and crystal phase of basalt glass-ceramics""]",24.6,"{""Fisika"": 1}"
Innovative Materials in Conservation and Analysis,Innovative Treatments for Stone Conservation and Protection,Kimia,1,"[""Performance improvement of tetraethylorthosilicate consolidated andesite rock by adding titanium tetraisopropoxyde and silica particles""]",38.4,"{""Kimia"": 1}"
Innovative Methods for Solving Boundary Value Problems,Optimized Domain Decomposition in Numerical Methods,Matematika,1,"[""An adaptive multiscale finite element method enriched with generalized bubble functions for the Helmholtz equation""]",13.4,"{""Matematika"": 1}"
Innovative Solar Technologies for Energy and Water,Integration of Renewable Energy in Desalination Systems,Matematika,1,"[""Concentrated photovoltaics combined with multi-stage flash distillation systems for seawater desalination""]",94.6,"{""Matematika"": 1}"
Innovative Techniques in Image Processing and Rendering,Photometric Stereo for Surface Reconstruction,Fisika,1,"[""LOW-COST DOME FOR MULTI-PURPOSE DIGITALIZATION ON SMALL OBJECT""]",51.3,"{""Fisika"": 1}"
Innovative Techniques in Image Segmentation and Analysis,Facial Feature Modeling and Pose Estimation Techniques,Ilmu Komputer dan Elektronika,1,"[""Face recognition based on cnn 2d-3d reconstruction using shape and texture vectors combined""]",66.3,"{""Ilmu Komputer dan Elektronika"": 1}"
Innovative Techniques in Optical Imaging and Measurement,Holographic Imaging and Deep Learning Innovations,Fisika,1,"[""Nonmechanical parfocal and autofocus features based on wave propagation distribution in lensfree holographic microscopy""]",68.4,"{""Fisika"": 1}"
Insect Diversity and Biological Control Mechanisms,Microbial Dynamics and Forensic Implications of Decomposition,Fisika,1,"[""Application of a Photoacoustic Tomography System: A Case Study on the Monitoring of Pig Tissue Decomposition""]",18.8,"{""Fisika"": 1}"
Institutional Change in Public Sector Management Accounting,Management Control Systems and Performance Measurement,Ilmu Komputer dan Elektronika,1,"[""The impact of digitalization in accounting systems on information quality, cost reduction and decision making: Evidence from SMEs""]",69.8,"{""Ilmu Komputer dan Elektronika"": 1}"
Integrated Circuit Design and Reliability,Fault-Tolerance Techniques for Soft Error Resilience,Ilmu Komputer dan Elektronika,1,"[""Silent Data Corruption: Advancing Detection, Diagnosis, and Mitigation Strategies""]",36.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Integrating Community Forestry and Environmental Governance,Sustainable Management of Tropical Forest Resources,Matematika,1,"[""Innovative and sustainable research-based learning & community services during lockdown by COVID-19""]",52.1,"{""Matematika"": 1}"
Integrating Forestry and Technology for Sustainability,Human Computation and Gamification in Data Annotation,Ilmu Komputer dan Elektronika,1,"[""Benchmarking Ontology Validation Capabilities of LLMs""]",62.7,"{""Ilmu Komputer dan Elektronika"": 1}"
Integration of Robotics and Computational Thinking in Education,Integrating Computational Thinking in Education,Kimia,1,"[""Computational thinking skills profile in solving mathematical problems based on computational thinking attitude""]",91.4,"{""Kimia"": 1}"
Integration of Robotics and Spacecraft Control Systems,Inverse Kinematics Solutions for Robotic Manipulators,Ilmu Komputer dan Elektronika,1,"[""MLP-Based Inverse Kinematics for Efficient Pick and Place Motion Generation of 6-DOF Robotic Manipulators""]",47.5,"{""Ilmu Komputer dan Elektronika"": 1}"
Integration of Search Engines and Case-Based Reasoning,Plagiarism Detection and Duplicate Content Management,Ilmu Komputer dan Elektronika,1,"[""Named entity recognition and dependency parsing for better concept extraction in summary obfuscation detection""]",18.9,"{""Ilmu Komputer dan Elektronika"": 1}"
Interdisciplinary Insights on Particle Dynamics and Life Origins,Innovative Particle Methods in Hydrodynamic Simulations,Kimia,1,"[""Application of Weakly Compressible Smoothed Particle Hydrodynamics Method to The Flow Around NACA 0012 Airfoil""]",58.7,"{""Kimia"": 1}"
